"foraging robots"	"building robots"	"average estimate"	"average deviation"	"construction events"	"blocks in cache"	"average degree"
10	40	0.300894	0.198635	1	0.0416	1.75
10	40	0.301569	0.199363	1	0.0416	1.75
10	40	0.293505	0.193696	0	0.0416	1.75758
10	40	0.293904	0.194086	0	0.0416	1.75758
10	40	0.301892	0.19872	0	0.0416	1.75
11	39	0.310736	0.207407	0	0.0416	1.74194
12	38	0.310965	0.207651	0	0.0416	1.74194
11	39	0.316331	0.212906	0	0.0432	1.74194
11	39	0.318948	0.215471	0	0.0432	1.87097
11	39	0.317213	0.214699	0	0.0432	1.87097
11	39	0.317936	0.215438	0	0.0432	1.87097
11	39	0.317948	0.215206	0	0.0432	1.93548
11	39	0.318135	0.215603	0	0.0432	1.93548
11	39	0.317739	0.215218	0	0.0432	1.93548
11	39	0.31673	0.214145	0	0.0432	1.93548
